Product_Code,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,MIN,MAX,Normalized 0,Normalized 1,Normalized 2,Normalized 3,Normalized 4,Normalized 5,Normalized 6,Normalized 7,Normalized 8,Normalized 9,Normalized 10,Normalized 11,Normalized 12,Normalized 13,Normalized 14,Normalized 15,Normalized 16,Normalized 17,Normalized 18,Normalized 19,Normalized 20,Normalized 21,Normalized 22,Normalized 23,Normalized 24,Normalized 25,Normalized 26,Normalized 27,Normalized 28,Normalized 29,Normalized 30,Normalized 31,Normalized 32,Normalized 33,Normalized 34,Normalized 35,Normalized 36,Normalized 37,Normalized 38,Normalized 39,Normalized 40,Normalized 41,Normalized 42,Normalized 43,Normalized 44,Normalized 45,Normalized 46,Normalized 47,Normalized 48,Normalized 49,Normalized 50,Normalized 51
P191,48,36,42,35,44,39,37,45,42,40,40,42,57,46,38,35,31,36,49,40,49,41,47,34,30,30,18,24,28,27,30,30,36,27,38,32,30,36,37,26,29,47,33,20,25,36,36,28,35,35,34,24,18,57,0.77,0.46,0.62,0.44,0.67,0.54,0.49,0.69,0.62,0.56,0.56,0.62,1.00,0.72,0.51,0.44,0.33,0.46,0.79,0.56,0.79,0.59,0.74,0.41,0.31,0.31,0.00,0.15,0.26,0.23,0.31,0.31,0.46,0.23,0.51,0.36,0.31,0.46,0.49,0.21,0.28,0.74,0.38,0.05,0.18,0.46,0.46,0.26,0.44,0.44,0.41,0.15
P192,24,33,30,35,36,43,43,31,31,39,26,33,39,39,29,43,40,40,32,46,28,32,48,35,30,28,27,26,34,24,27,15,37,30,37,25,30,28,34,23,31,41,27,34,32,35,29,26,25,31,32,31,15,48,0.27,0.55,0.45,0.61,0.64,0.85,0.85,0.48,0.48,0.73,0.33,0.55,0.73,0.73,0.42,0.85,0.76,0.76,0.52,0.94,0.39,0.52,1.00,0.61,0.45,0.39,0.36,0.33,0.58,0.27,0.36,0.00,0.67,0.45,0.67,0.30,0.45,0.39,0.58,0.24,0.48,0.79,0.36,0.58,0.52,0.61,0.42,0.33,0.30,0.48,0.52,0.48
P193,36,22,32,45,35,44,39,41,33,43,49,41,45,45,43,35,46,60,43,41,50,46,35,46,33,21,30,32,22,32,38,22,39,31,29,26,29,25,35,38,32,27,40,43,35,24,40,30,33,35,22,21,21,60,0.38,0.03,0.28,0.62,0.36,0.59,0.46,0.51,0.31,0.56,0.72,0.51,0.62,0.62,0.56,0.36,0.64,1.00,0.56,0.51,0.74,0.64,0.36,0.64,0.31,0.00,0.23,0.28,0.03,0.28,0.44,0.03,0.46,0.26,0.21,0.13,0.21,0.10,0.36,0.44,0.28,0.15,0.49,0.56,0.36,0.08,0.49,0.23,0.31,0.36,0.03,0.00
P194,35,37,31,23,37,42,38,34,33,37,34,43,37,32,43,42,41,43,29,33,39,25,32,31,23,19,21,29,21,25,20,29,22,19,37,28,37,27,23,28,42,28,29,32,25,31,21,35,23,33,28,27,19,43,0.67,0.75,0.50,0.17,0.75,0.96,0.79,0.63,0.58,0.75,0.63,1.00,0.75,0.54,1.00,0.96,0.92,1.00,0.42,0.58,0.83,0.25,0.54,0.50,0.17,0.00,0.08,0.42,0.08,0.25,0.04,0.42,0.13,0.00,0.75,0.38,0.75,0.33,0.17,0.38,0.96,0.38,0.42,0.54,0.25,0.50,0.08,0.67,0.17,0.58,0.38,0.33
P195,4,4,7,5,5,3,3,7,3,5,8,5,5,3,0,10,7,4,12,4,5,3,0,3,7,7,5,4,8,1,4,3,0,3,3,1,8,3,6,5,4,3,3,4,4,3,3,6,5,2,4,2,0,12,0.33,0.33,0.58,0.42,0.42,0.25,0.25,0.58,0.25,0.42,0.67,0.42,0.42,0.25,0.00,0.83,0.58,0.33,1.00,0.33,0.42,0.25,0.00,0.25,0.58,0.58,0.42,0.33,0.67,0.08,0.33,0.25,0.00,0.25,0.25,0.08,0.67,0.25,0.50,0.42,0.33,0.25,0.25,0.33,0.33,0.25,0.25,0.50,0.42,0.17,0.33,0.17
P196,43,34,39,32,45,35,43,44,36,39,37,27,38,34,32,30,47,33,30,26,31,35,22,26,44,18,41,30,22,28,31,21,27,33,39,27,29,22,36,30,29,38,27,29,42,38,30,28,28,30,34,28,18,47,0.86,0.55,0.72,0.48,0.93,0.59,0.86,0.90,0.62,0.72,0.66,0.31,0.69,0.55,0.48,0.41,1.00,0.52,0.41,0.28,0.45,0.59,0.14,0.28,0.90,0.00,0.79,0.41,0.14,0.34,0.45,0.10,0.31,0.52,0.72,0.31,0.38,0.14,0.62,0.41,0.38,0.69,0.31,0.38,0.83,0.69,0.41,0.34,0.34,0.41,0.55,0.34
P197,6,8,8,16,8,11,9,18,10,12,12,6,9,15,15,4,9,13,3,7,12,11,13,11,12,12,4,2,6,6,11,10,17,8,7,9,7,6,13,13,6,8,10,5,16,11,12,17,6,6,4,10,2,18,0.25,0.38,0.38,0.88,0.38,0.56,0.44,1.00,0.50,0.63,0.63,0.25,0.44,0.81,0.81,0.13,0.44,0.69,0.06,0.31,0.63,0.56,0.69,0.56,0.63,0.63,0.13,0.00,0.25,0.25,0.56,0.50,0.94,0.38,0.31,0.44,0.31,0.25,0.69,0.69,0.25,0.38,0.50,0.19,0.88,0.56,0.63,0.94,0.25,0.25,0.13,0.50
P198,7,19,4,9,8,12,11,10,8,16,10,9,14,12,15,15,7,6,10,18,8,9,14,15,17,20,9,8,13,8,3,7,7,8,15,8,10,8,5,3,10,9,7,8,16,8,9,7,7,11,9,16,3,20,0.24,0.94,0.06,0.35,0.29,0.53,0.47,0.41,0.29,0.76,0.41,0.35,0.65,0.53,0.71,0.71,0.24,0.18,0.41,0.88,0.29,0.35,0.65,0.71,0.82,1.00,0.35,0.29,0.59,0.29,0.00,0.24,0.24,0.29,0.71,0.29,0.41,0.29,0.12,0.00,0.41,0.35,0.24,0.29,0.76,0.29,0.35,0.24,0.24,0.47,0.35,0.76
P199,4,1,1,6,3,7,1,4,4,5,3,5,7,4,3,1,2,2,5,5,3,2,2,7,5,8,1,3,0,3,8,2,1,2,1,2,1,4,4,2,2,3,6,2,7,4,3,4,2,1,3,2,0,8,0.50,0.13,0.13,0.75,0.38,0.88,0.13,0.50,0.50,0.63,0.38,0.63,0.88,0.50,0.38,0.13,0.25,0.25,0.63,0.63,0.38,0.25,0.25,0.88,0.63,1.00,0.13,0.38,0.00,0.38,1.00,0.25,0.13,0.25,0.13,0.25,0.13,0.50,0.50,0.25,0.25,0.38,0.75,0.25,0.88,0.50,0.38,0.50,0.25,0.13,0.38,0.25
P200,18,14,21,17,26,14,15,20,17,12,14,22,18,16,16,16,16,17,22,24,26,21,23,19,35,24,10,11,8,5,14,19,18,14,13,9,16,18,10,21,11,15,21,12,15,13,18,23,23,16,23,26,5,35,0.43,0.30,0.53,0.40,0.70,0.30,0.33,0.50,0.40,0.23,0.30,0.57,0.43,0.37,0.37,0.37,0.37,0.40,0.57,0.63,0.70,0.53,0.60,0.47,1.00,0.63,0.17,0.20,0.10,0.00,0.30,0.47,0.43,0.30,0.27,0.13,0.37,0.43,0.17,0.53,0.20,0.33,0.53,0.23,0.33,0.27,0.43,0.60,0.60,0.37,0.60,0.70
P201,1,3,3,5,5,5,2,3,2,7,7,5,3,3,1,2,7,3,5,3,4,7,9,6,5,3,2,2,6,1,3,2,3,3,4,2,4,5,5,2,5,4,5,5,4,5,1,1,2,7,1,4,1,9,0.00,0.25,0.25,0.50,0.50,0.50,0.13,0.25,0.13,0.75,0.75,0.50,0.25,0.25,0.00,0.13,0.75,0.25,0.50,0.25,0.38,0.75,1.00,0.63,0.50,0.25,0.13,0.13,0.63,0.00,0.25,0.13,0.25,0.25,0.38,0.13,0.38,0.50,0.50,0.13,0.50,0.38,0.50,0.50,0.38,0.50,0.00,0.00,0.13,0.75,0.00,0.38
P202,10,10,10,11,11,11,15,14,20,16,5,16,18,17,19,20,17,15,12,24,23,22,16,17,20,25,9,16,15,10,9,14,13,14,12,6,11,21,14,10,15,14,10,17,21,14,25,20,12,21,25,23,5,25,0.25,0.25,0.25,0.30,0.30,0.30,0.50,0.45,0.75,0.55,0.00,0.55,0.65,0.60,0.70,0.75,0.60,0.50,0.35,0.95,0.90,0.85,0.55,0.60,0.75,1.00,0.20,0.55,0.50,0.25,0.20,0.45,0.40,0.45,0.35,0.05,0.30,0.80,0.45,0.25,0.50,0.45,0.25,0.60,0.80,0.45,1.00,0.75,0.35,0.80,1.00,0.90
P203,9,7,3,6,6,9,7,6,5,3,5,8,3,5,8,8,4,8,10,7,6,3,7,9,6,8,3,6,1,10,2,2,8,9,3,6,7,7,3,8,3,7,7,8,6,4,6,7,8,7,5,7,1,10,0.89,0.67,0.22,0.56,0.56,0.89,0.67,0.56,0.44,0.22,0.44,0.78,0.22,0.44,0.78,0.78,0.33,0.78,1.00,0.67,0.56,0.22,0.67,0.89,0.56,0.78,0.22,0.56,0.00,1.00,0.11,0.11,0.78,0.89,0.22,0.56,0.67,0.67,0.22,0.78,0.22,0.67,0.67,0.78,0.56,0.33,0.56,0.67,0.78,0.67,0.44,0.67
P204,1,2,1,1,1,3,4,2,2,1,0,1,3,2,1,2,5,3,2,5,0,5,3,1,5,4,5,0,2,4,4,2,1,3,1,3,2,2,5,0,1,3,1,2,0,2,5,4,2,1,3,4,0,5,0.20,0.40,0.20,0.20,0.20,0.60,0.80,0.40,0.40,0.20,0.00,0.20,0.60,0.40,0.20,0.40,1.00,0.60,0.40,1.00,0.00,1.00,0.60,0.20,1.00,0.80,1.00,0.00,0.40,0.80,0.80,0.40,0.20,0.60,0.20,0.60,0.40,0.40,1.00,0.00,0.20,0.60,0.20,0.40,0.00,0.40,1.00,0.80,0.40,0.20,0.60,0.80
P205,11,7,7,13,8,6,15,9,14,11,12,12,12,9,16,13,13,15,16,8,13,15,10,26,25,28,7,8,7,7,10,16,9,13,10,11,5,11,9,6,7,14,8,20,14,9,13,12,12,11,22,17,5,28,0.26,0.09,0.09,0.35,0.13,0.04,0.43,0.17,0.39,0.26,0.30,0.30,0.30,0.17,0.48,0.35,0.35,0.43,0.48,0.13,0.35,0.43,0.22,0.91,0.87,1.00,0.09,0.13,0.09,0.09,0.22,0.48,0.17,0.35,0.22,0.26,0.00,0.26,0.17,0.04,0.09,0.39,0.13,0.65,0.39,0.17,0.35,0.30,0.30,0.26,0.74,0.52
P206,1,0,1,3,1,3,4,0,4,5,0,2,3,3,2,2,4,2,3,2,6,3,5,5,4,1,1,3,3,2,2,1,1,1,2,0,1,3,3,4,2,2,2,3,6,2,2,6,6,4,1,5,0,6,0.17,0.00,0.17,0.50,0.17,0.50,0.67,0.00,0.67,0.83,0.00,0.33,0.50,0.50,0.33,0.33,0.67,0.33,0.50,0.33,1.00,0.50,0.83,0.83,0.67,0.17,0.17,0.50,0.50,0.33,0.33,0.17,0.17,0.17,0.33,0.00,0.17,0.50,0.50,0.67,0.33,0.33,0.33,0.50,1.00,0.33,0.33,1.00,1.00,0.67,0.17,0.83
P207,2,5,8,7,3,5,2,6,7,6,10,2,10,5,4,7,7,6,4,5,3,5,7,7,10,11,1,3,4,4,5,4,2,4,5,5,3,5,9,3,1,5,7,5,7,9,8,3,6,10,10,12,1,12,0.09,0.36,0.64,0.55,0.18,0.36,0.09,0.45,0.55,0.45,0.82,0.09,0.82,0.36,0.27,0.55,0.55,0.45,0.27,0.36,0.18,0.36,0.55,0.55,0.82,0.91,0.00,0.18,0.27,0.27,0.36,0.27,0.09,0.27,0.36,0.36,0.18,0.36,0.73,0.18,0.00,0.36,0.55,0.36,0.55,0.73,0.64,0.18,0.45,0.82,0.82,1.00
P208,30,26,36,33,33,30,33,28,19,26,43,36,31,33,41,29,33,45,24,32,50,41,50,51,39,49,19,15,27,24,26,22,21,15,23,25,18,33,25,30,27,29,31,37,26,27,39,33,32,36,39,45,15,51,0.42,0.31,0.58,0.50,0.50,0.42,0.50,0.36,0.11,0.31,0.78,0.58,0.44,0.50,0.72,0.39,0.50,0.83,0.25,0.47,0.97,0.72,0.97,1.00,0.67,0.94,0.11,0.00,0.33,0.25,0.31,0.19,0.17,0.00,0.22,0.28,0.08,0.50,0.28,0.42,0.33,0.39,0.44,0.61,0.31,0.33,0.67,0.50,0.47,0.58,0.67,0.83
P209,12,6,6,11,16,12,6,11,8,14,13,7,11,12,11,11,9,15,10,13,12,10,11,16,8,15,8,6,8,5,10,10,5,4,9,10,9,10,9,6,4,13,6,11,7,8,8,17,6,13,12,15,4,17,0.62,0.15,0.15,0.54,0.92,0.62,0.15,0.54,0.31,0.77,0.69,0.23,0.54,0.62,0.54,0.54,0.38,0.85,0.46,0.69,0.62,0.46,0.54,0.92,0.31,0.85,0.31,0.15,0.31,0.08,0.46,0.46,0.08,0.00,0.38,0.46,0.38,0.46,0.38,0.15,0.00,0.69,0.15,0.54,0.23,0.31,0.31,1.00,0.15,0.69,0.62,0.85
P210,16,12,9,14,7,11,16,23,9,11,13,14,15,14,20,10,10,17,14,16,13,17,13,16,18,14,9,11,8,7,9,10,11,4,8,16,12,10,10,9,13,11,9,10,13,14,11,8,17,19,18,14,4,23,0.63,0.42,0.26,0.53,0.16,0.37,0.63,1.00,0.26,0.37,0.47,0.53,0.58,0.53,0.84,0.32,0.32,0.68,0.53,0.63,0.47,0.68,0.47,0.63,0.74,0.53,0.26,0.37,0.21,0.16,0.26,0.32,0.37,0.00,0.21,0.63,0.42,0.32,0.32,0.26,0.47,0.37,0.26,0.32,0.47,0.53,0.37,0.21,0.68,0.79,0.74,0.53
P211,15,12,9,12,14,14,17,14,10,11,19,12,6,12,14,11,9,11,19,15,18,13,17,9,12,12,10,9,13,13,7,11,4,10,10,15,12,9,4,10,8,5,10,8,11,6,8,18,7,10,10,14,4,19,0.73,0.53,0.33,0.53,0.67,0.67,0.87,0.67,0.40,0.47,1.00,0.53,0.13,0.53,0.67,0.47,0.33,0.47,1.00,0.73,0.93,0.60,0.87,0.33,0.53,0.53,0.40,0.33,0.60,0.60,0.20,0.47,0.00,0.40,0.40,0.73,0.53,0.33,0.00,0.40,0.27,0.07,0.40,0.27,0.47,0.13,0.27,0.93,0.20,0.40,0.40,0.67
P212,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,1,0,0,1,0,3,1,0,1,2,1,0,0,0,1,1,0,1,0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.33,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.00,0.33,0.00,1.00,0.33,0.00,0.33,0.67,0.33,0.00,0.00,0.00,0.33,0.33,0.00,0.33,0.00,0.33
P213,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,2,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.50
P214,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.00
P215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
P216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.50,0.50
P217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00
P218,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,1.00
P219,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.50,0.50,0.00,1.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.50
P220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,1,2,1,0,2,0,0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.50,1.00,0.50,0.00,1.00,0.00,0.00,0.00
P221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,2,1,0,1,0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.50,0.50,0.50,0.00,1.00,0.50,0.00,0.50,0.00,1.00
P222,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,1.00
P223,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
P224,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1,1,1,2,2,0,2,1,0,0,2,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,1.00,0.50,0.00,0.50,0.00,0.50,0.50,0.50,1.00,1.00,0.00,1.00,0.50,0.00
P225,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00
P226,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
P227,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00
P228,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
P229,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
P230,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
P231,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.50
P232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
